,,,16day_growth_contition_data_1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1 a few fruits_normal color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunny,Apple,Sample1-1,,,,16.60%,64.40%,16.00%,84.00%,34.20%,10.60%,89.40%,75.60%,67.00%,14.80%,85.20%,31.50%,10.90%,89.10%,4.52%,53.30%,18.80%,81.20%,46.00%,8.70%,91.30%,8.11%,53.70%,22.30%,77.70%,45.80%,10.40%,89.60%,11.80%,59.60%,19.90%,80.10%,39.10%,9.82%,90.20%
shade,Apple,Sample1-2,,,,20.20%,1.97%,10.90%,89.10%,96.60%,14.70%,85.30%,73.70%,1.92%,9.75%,90.30%,96.40%,14.30%,85.70%,4.89%,6.75%,14.50%,85.50%,91.50%,14.30%,85.70%,6.51%,1.20%,30.80%,69.20%,98.20%,17.10%,82.90%,14.90%,1.01%,4.00%,96.00%,98.30%,15.60%,84.40%
sunny,Orange,Sample1-5,,,,11.20%,60.80%,13.70%,86.30%,38.60%,10.60%,89.40%,82.80%,62.30%,13.00%,87.00%,37.20%,10.00%,90.00%,4.65%,48.80%,20.00%,80.00%,49.60%,14.10%,85.90%,7.00%,52.50%,20.60%,79.40%,47.00%,14.00%,86.00%,5.55%,59.10%,13.10%,86.90%,40.30%,9.09%,90.90%
shade,Orange,Sample1-6,,,,11.00%,2.22%,19.80%,80.20%,96.50%,16.00%,84.00%,79.10%,2.17%,19.50%,80.50%,96.70%,14.80%,85.20%,5.23%,8.11%,23.50%,76.50%,88.50%,23.90%,76.10%,8.81%,0.22%,33.30%,66.70%,98.90%,22.60%,77.40%,6.88%,0.93%,0%,100%,98.00%,15.10%,84.90%
sunny,Pineapple,Sample1-7,,,,9.34%,59.30%,11.80%,88.20%,39.90%,7.92%,92.10%,81.70%,62.20%,11.20%,88.80%,37.00%,7.70%,92.30%,4.34%,39.10%,20.50%,79.50%,59.10%,8.47%,91.50%,8.83%,47.50%,17.00%,83.00%,51.80%,8.97%,91.00%,5.17%,50.70%,9.39%,90.60%,48.90%,8.12%,91.90%
shade,Pineapple,Sample1-8,,,,10.00%,3.71%,10.80%,89.20%,95.20%,9.95%,90.10%,79.20%,4.27%,9.83%,90.20%,94.70%,9.79%,90.20%,7.07%,3.38%,19.50%,80.50%,94.00%,11.40%,88.60%,8.13%,0.57%,50.00%,50.00%,98.90%,10.10%,89.90%,5.65%,0.83%,0%,100%,98.20%,10.10%,89.90%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4 a few fruits_good color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
